k,First_CF,Second_CF,Third_CF,First_CF_err,Second_CF_err,Third_CF_err,First_D,Second_D,Third_D,First_D_err,Second_D_err,Third_D_err
0,-0.5497662791115319,-0.3983828667212631,-0.7078472199624003,0.1905101064169288,0.22183199546339039,0.32261860637220474,-0.28601283042994374,0.10097094364036972,1.10994362438325,0.1842544694145287,0.2148087801432409,0.31923765559040373
1,-0.444801026957638,0.16348055372445616,-0.7300944669365722,0.3980840844256634,0.44335836619699415,0.6335050732044629,0.1662387676508344,1.0365853658536586,2.8144399460188936,0.3704184610700343,0.40725381179219183,0.5877434748271378
2,-0.4883362676056338,-0.5565870910698497,0.043478260869565216,0.32220034250266827,0.37577438794745804,0.5236446884840327,0.06756161971830986,0.5391246684350133,4.961845607808341,0.31983655735981975,0.35110323333869,0.5101159218096513
3,-0.34404898584003063,-0.956471935853379,-0.2311951126384117,0.3124261631462476,0.3661345343935261,0.5135382332079954,0.19996172981247615,0.3827796869033983,5.115883925162275,0.30024028014045046,0.34466457472821194,0.5255733799302748
4,-0.5312957540263543,-1.125183284457478,-0.05948023426061493,0.3197081381161694,0.3552682618772496,0.515253536313578,0.36767935578330896,0.3289956011730205,5.504392386530014,0.2984144953119144,0.3382834072616982,0.539575105516834
5,-0.6834215167548501,-1.3061728395061727,-0.40476190476190477,0.30501008916619665,0.33633878137286605,0.49963640609493687,0.24691358024691357,0.44603174603174606,5.332275132275131,0.29305986468771045,0.3114689124381015,0.5560141675561453
6,-0.6418966737438074,-1.2461075725406938,-0.2822009907997169,0.31158700817511814,0.34486265803559135,0.5036256741427682,0.3397027600849256,0.6569355980184005,5.357926397735314,0.2956955453141844,0.35842416194502735,0.5580656199203673
7,-0.8909026297085998,-1.1792821606254442,-0.6318681318681318,0.34129007104891407,0.3466030455495557,0.5048114673190305,0.3070362473347548,0.69136460554371,5.090925203828429,0.3119750884111814,0.3612179972880796,0.5681120250275341
8,-1.3313037249283668,-1.278474212034384,-0.6307142857142857,0.3366052610934856,0.3642554062269349,0.5015377841876886,0.08255730659025788,0.6104942693409742,5.243214285714286,0.3006686709924742,0.3642016130205773,0.5639808551764458
9,-1.2505411255411254,-1.0282301845819761,-0.7837301587301586,0.3354149053228973,0.35386686643253285,0.4746815033611049,0.20725108225108227,0.7104596453130654,5.323953823953824,0.29967371936134973,0.3662175563031223,0.552699910693238
10,-1.171217712177122,-0.8496309963099629,-0.9777573529411764,0.3560514843877405,0.363874248251206,0.4650340710842305,0.4881918819188191,1.0749077490774905,5.049816176470588,0.29911952736303543,0.3756935979628564,0.5578385949532696
11,-1.2067144473783478,-0.8464015151515151,-0.5345152772538665,0.3503615213823141,0.35667247857963774,0.45541442311953184,0.47831007167106765,0.8761363636363637,5.366465484722746,0.28767108634929006,0.3763238219274138,0.560385658049644
12,-1.2374031007751938,-0.7945872274143303,-0.4069767441860465,0.34871415174340614,0.35120779888960596,0.48447595770535073,0.554263565891473,1.1561526479750779,5.5228682170542625,0.31370531451668604,0.3752989132705329,0.5897334586493002
13,-1.3236349143084896,-0.6438301282051282,-0.6944998007174173,0.36216259549494173,0.3547386103586857,0.4940020895225301,0.26424870466321254,1.2235576923076923,5.413710641689916,0.33263033819225624,0.4033723808782205,0.5942339170865926
14,-1.2479707792207793,-0.8867694805194805,-0.5304383116883117,0.34007216681670865,0.3321786945752082,0.502247968070235,0.2583198051948052,0.9813311688311689,5.684659090909091,0.3242877785460372,0.3456832583921891,0.6424058818127582
15,-1.0651898734177214,-0.8232067510548525,-0.5586497890295358,0.3378157254646802,0.33776684333196233,0.5071853678443965,0.5940928270042196,1.1470464135021095,5.3896624472573835,0.33181930864259757,0.32523723430694396,0.6383497343315231
16,-1.1123251748251748,-0.8393485915492958,-0.548951048951049,0.3477562291966301,0.3404830224178962,0.5133847616315105,0.8079108391608392,1.2015845070422535,5.1022727272727275,0.3168910203857593,0.34536143167008687,0.6567934787455827
17,-1.2117647058823529,-0.885544915640675,-0.8,0.3781629319376723,0.41360990650137386,0.487772824103182,0.680316742081448,1.3303693570451436,4.295475113122172,0.3309951754150844,0.45700733925184744,0.6031219747201482
18,-1.541545893719807,-1.0913043478260869,-0.9295977011494254,0.4217555685937397,0.3952233972081611,0.4877895076101281,0.5408212560386474,1.2181159420289855,3.7703544061302683,0.3378475233903948,0.4611192089641533,0.6154364705406244
19,-1.751518218623482,-1.06831983805668,-0.681427125506073,0.4295204866157729,0.4030655932580231,0.4974739760073393,0.28719635627530365,1.459008097165992,3.668775303643725,0.354968802264556,0.47097877034722496,0.6607342725428526
20,-1.676923076923077,-1.6622222222222223,-0.5890109890109889,0.43513489108381936,0.3795105849503183,0.5415956855142449,0.3170329670329671,0.8266666666666668,4.043406593406593,0.33586717331049537,0.40970929220588853,0.7449663023867755
21,-1.6517857142857142,-1.5699404761904763,-0.3350970017636686,0.45881586019148046,0.3808476686422331,0.5893687371039927,0.2205357142857142,1.037202380952381,4.057907113462669,0.36827237395344403,0.3910645633125336,0.7775337659235041
