k,TB_CF,TB_CF_err,TB_D,TB_D_err,TS_CF,TS_CF_err,TS_D,TS_D_err,P_CF,P_CF_err,P_D,P_D_err,R_CF,R_CF_err,R_D,R_D_err
1,0.93670062865814,0.003585547291226,0.958161716887058,0.002948232200673,87.1829611966183,0.246048979723079,88.8158465207024,0.206519607325482,0.536310427053978,0.007343061000594,0.51896813353566,0.007357200983515,0.301155622979932,0.072618232860254,0.619790930660028,0.072688437707143
2,0.931323529411765,0.003191531236463,0.958970588235294,0.002452786918822,86.7542647058824,0.222237313773815,88.91125,0.177471425145336,0.578823529411765,0.006406871158161,0.563823529411765,0.006545660554418,0.203628492385189,0.049297281351365,0.434775186165625,0.049288613455188
3,0.927397783721819,0.00321749118409,0.95936823334607,0.002370109850507,86.4596866641192,0.227200239343542,88.8605273213603,0.177301556348911,0.594191822697746,0.0064750661911,0.584129410266208,0.006582287486347,0.1638302185752,0.042659573477683,0.349812165089662,0.042631518785587
4,0.9190673828125,0.003366880135979,0.9544677734375,0.002481565785078,85.8983154296875,0.238479056169092,88.5702514648438,0.184824345363966,0.596435546875,0.006651110772717,0.5849609375,0.006775697548229,0.140726836046576,0.040843515761346,0.299574180817259,0.040808266074997
5,0.917813051146384,0.00342039355542,0.953086419753086,0.002537289508996,85.8144032921811,0.245071061946355,88.5402116402116,0.187839056813508,0.607760141093474,0.006871466934625,0.597178130511464,0.007142148822594,0.126233715859609,0.039315672305355,0.265846621565163,0.039272374426923
6,0.915664071715027,0.00357348592014,0.952465204057561,0.002569078483877,85.8267869780609,0.259526264712252,88.6618306204293,0.193029518001165,0.611347015805614,0.007211487207839,0.606039160179287,0.007444880998331,0.118741482700834,0.039470018120146,0.244356274328596,0.039414425919406
7,0.913599242513907,0.003815718043545,0.950881761155166,0.002726717843663,85.6982483134099,0.27766351853926,88.632441709078,0.202809140188018,0.617232808616404,0.007363038276406,0.61569416498994,0.007602117895389,0.176655675966757,0.074397866118375,0.291415513252153,0.074232427807094
8,0.911855916030534,0.004064104255105,0.948831106870229,0.002857462019259,85.6982347328244,0.296678767471036,88.747733778626,0.213033043013504,0.625834923664122,0.007485586255182,0.625477099236641,0.00787407381566,0.105715983362233,0.039844123902452,0.212626232580993,0.039782939469961
9,0.90911279643674,0.004136430110424,0.947273383893102,0.002799297426188,85.5099915733718,0.304202444083051,88.622788010112,0.211391952079034,0.64523895509811,0.007600181504059,0.64307210786084,0.008076489717643,0.102852951773486,0.040207944062541,0.201856846476031,0.040140698901183
10,0.908476658476658,0.004313186174817,0.946805896805897,0.002997646169756,85.5173832923833,0.319746912826875,88.6160933660934,0.226627133064038,0.655282555282555,0.007800917063141,0.654054054054054,0.008249916134789,0.100685642347084,0.041026647662499,0.19283315240552,0.040953493597818
11,0.910601863510451,0.004429403826373,0.948249811130697,0.003005671323938,85.6877360866281,0.326887291637537,88.7696424074541,0.227229043660556,0.664694031730043,0.008001637191393,0.664064467388567,0.008473886616344,0.098339262955669,0.042040414450433,0.185322827841539,0.04196216453588
12,0.910067287784679,0.004594904645787,0.950051759834368,0.003066283299692,85.7125388198758,0.34052757233523,88.9552277432712,0.231319858954724,0.676630434782609,0.008103641561856,0.67184265010352,0.008700171312482,0.097449632813688,0.043197859947817,0.17974212692942,0.043113283546832
13,0.908171413361725,0.004836281250094,0.947032206547778,0.003305793039365,85.5997471386745,0.360334398939845,88.7492680330051,0.24766386745573,0.688581314878893,0.008179232704203,0.684721852541922,0.008802686950333,0.096777995570298,0.044423069742393,0.174659175260407,0.044332555303782
14,0.907061688311688,0.004925487266361,0.946428571428571,0.003252652009441,85.5138663419914,0.371712515097789,88.6655844155844,0.255575297707684,0.707386363636364,0.008478066535591,0.704680735930736,0.00899170473283,0.0970993953589,0.045157441590381,0.170075305654323,0.045061256870134
15,0.905344585091421,0.005191241011385,0.945288326300985,0.00337250920411,85.4045007032349,0.388987320980596,88.5416315049226,0.268416103423003,0.714627285513362,0.008706224283213,0.716877637130801,0.009191827154964,0.097106249239224,0.046935529800809,0.16686914580739,0.046833312620852
16,0.90347546728972,0.005458834979976,0.944363317757009,0.003645718217525,85.3452832943925,0.406474622527105,88.4847400700935,0.288294457578967,0.72794976635514,0.008938156674578,0.730578271028037,0.009413293265844,0.097412680373221,0.048724779087635,0.16433061684125,0.048616091014872
17,0.901708755481627,0.005729463958093,0.940722818690458,0.004054272970083,85.2769544835929,0.427062357181374,88.2902616059277,0.31490578252292,0.740208679872977,0.0093833142692,0.743837895055194,0.009724665955339,0.097645600572056,0.050451466769786,0.161913462898694,0.050335413013285
18,0.899646756583173,0.005815513767697,0.939627488760437,0.004129086573025,85.1219492614001,0.440073557249288,88.1275690430315,0.332296050078855,0.746307000642261,0.009705273104094,0.752569043031471,0.010062083968811,0.100059887389638,0.053563851890576,0.162156393078437,0.053435633695024
19,0.900134952766532,0.006008772322702,0.939271255060729,0.004395009738411,85.1740890688259,0.457550731739716,88.1418690958165,0.354451605253836,0.75472334682861,0.010146143413621,0.763663967611336,0.010510969392905,0.101219098864892,0.05626740580124,0.161376391149259,0.056128900744987
