k,First_CF,Second_CF,Third_CF,First_CF_err,Second_CF_err,Third_CF_err,First_D,Second_D,Third_D,First_D_err,Second_D_err,Third_D_err
0,-1.37660301576497,-0.510031967174377,-0.052983606661018,0.418514418862689,0.224705359721356,0.133179699448811,1.11564217529425,-0.081223560724427,0.053255446049764,0.412190014654606,0.218610595964658,0.129526708532462
1,-1.2776,-0.125243348475016,0.166300768386389,0.795449698453784,0.446357612283578,0.278451711901447,3.6104,0.532121998702142,0.391053787047201,0.719712274508684,0.424618476203947,0.260168122166735
2,-1.4213649851632,0.116166077738516,-0.767700875099443,1.26432096600665,0.717113796604557,0.476311135410385,10.9342235410485,1.38560070671378,-0.179793158313445,1.21978816288286,0.691491996647095,0.463546411915533
3,-1.85583941605839,-1.45679012345679,-1.31194690265487,1.80241051981893,1.01501954525968,0.685714550729092,17.5158150851582,0.802469135802469,-0.302544247787611,1.78030924718736,0.991554860858037,0.673490491004617
4,-0.807634730538922,-4.61432706222865,-1.38679245283019,2.28206342011882,1.38794375275931,0.963383377699012,24.7559880239521,0.617221418234443,0.350507982583454,2.33568362758516,1.31397310294573,0.90955561203599
5,-4.01156583629893,-5.14122807017544,-2.81722319859402,2.74871170256543,1.59404065975463,1.18670342920062,28.1467971530249,1.34912280701754,-0.338312829525483,2.92964014912451,1.55916673521952,1.12362570769665
6,-4.92430703624734,-6.06131078224102,-2.0307855626327,3.35197181191632,1.95500253008083,1.38944306586837,35.3827292110874,1.6014799154334,1.1687898089172,3.66705372812702,1.84148508956641,1.3195888307546
7,-8.27556109725686,-7.9220297029703,-2.7089552238806,3.98361106414034,2.38665662693609,1.60307611411228,39.5386533665835,1.87128712871287,1.4228855721393,4.37375785777619,2.25022254552242,1.50494651670526
8,-12.3400576368876,-9.08739255014327,-4.54261363636364,4.52978954221794,2.83060533333437,1.88258171185267,44.0605187319885,2.01719197707736,1.48153409090909,4.97166784998721,2.63212340446083,1.76850652693817
9,-13.4869281045752,-10.266339869281,-3.89549839228296,4.81491012997753,3.16714970905272,2.1079328527512,50.7385620915033,4.51797385620915,1.5096463022508,5.47212439041059,2.87864509262794,2.05605496197199
10,-15.5648148148148,-10.85,-3.66423357664234,5.40892592230142,3.5224006804686,2.44261184611868,55.5685185185185,5.32222222222222,2.36131386861314,6.15825026245454,3.21451163365628,2.29762191577187
11,-12.725,-11.0666666666667,-4.71280991735537,5.88812978373182,3.66139971342379,2.72764454365142,63.4125,8.58958333333333,1.42768595041322,6.79080358228948,3.33644900751499,2.5392852588077
12,-9.83644859813084,-13.2126168224299,-6.25231481481482,6.67434884215559,4.11742055567102,2.83244589705536,77.8247663551402,7.57710280373832,2.31712962962963,7.55732219422168,3.70041769051575,2.7037653849981
13,-15.2317708333333,-13.0625,-6.38144329896907,7.44676320172294,4.3692939915654,3.25615610291126,79.3177083333333,6.8984375,2.27577319587629,8.45261616943281,4.35723540435681,3.07906424338167
14,-17.3295454545455,-15.5057142857143,-4.53954802259887,7.86650053874606,4.42384008077668,3.47957123764007,82.4801136363636,7.75142857142857,4.84463276836158,9.24810033213162,4.7028235837488,3.37024921675471
15,-16.8322784810127,-14.5891719745223,-5.34276729559748,8.42917241301422,4.77914676674379,3.89095385483066,86.3607594936709,12.7484076433121,5.40251572327044,9.84138074674346,5.01427332354031,3.61778637757572
16,-22.3380281690141,-13.1760563380282,-4.61805555555556,9.29769578287204,4.93254922768193,4.17152684525063,85.4647887323944,19.0598591549296,6.58680555555556,10.8865867767804,5.00187129699878,4.0363217423272
17,-27.8604651162791,-15.1821705426357,-6.37786259541985,10.482849793814,5.34978349485991,4.52508533480088,81.7170542635659,16.6782945736434,6.45801526717557,11.6613829634894,5.52208501547821,4.50532091686532
18,-31.7173913043478,-22.7913043478261,-9.67672413793103,10.5879775279571,6.70085431956839,5.25374234544499,75.5304347826087,14.9782608695652,7.92672413793104,12.413482875171,6.45580052833463,4.88004248232772
19,-29.8365384615385,-25.4126213592233,-11.4095238095238,11.1908628292018,7.55558571263021,5.74245316555786,80.3846153846154,12.5825242718447,9.7,13.8673184853424,6.49601972573555,5.35210153514401
