k,First_CF,Second_CF,Third_CF,First_CF_err,Second_CF_err,Third_CF_err,First_D,Second_D,Third_D,First_D_err,Second_D_err,Third_D_err
0,-0.604743181855807,-0.388804781785532,-0.655325134269533,0.221407018658408,0.191610373853948,0.302514755868524,-0.20970822242555,-0.222974773298154,1.17595578237193,0.212318323060735,0.188205595477855,0.297617510259119
1,-0.41986531986532,0.073597359735974,-0.65189466923571,0.442025153258993,0.394879366165955,0.61933973272333,0.285858585858586,0.292079207920792,3.30346820809249,0.409056619142941,0.376342744998938,0.562210429555746
2,-1.14840283939663,-0.29207263064659,0.429481546572935,0.359303605755226,0.321894889230578,0.531363559757644,-0.189662821650399,0.089016829052259,5.5463532513181,0.341753910882016,0.32278592997799,0.506920630688051
3,-1.18730886850153,-0.22158438576349,-0.123760488176964,0.353821036196552,0.310866345141477,0.522276700312656,-0.237767584097859,0.092996555683123,5.80415713196034,0.347239193083609,0.30699728303748,0.513297235023028
4,-1.34315519765739,-0.371884164222874,0.000183016105417,0.352052273696743,0.315607015061413,0.519339495239996,-0.004758418740849,0.293438416422287,6.00933382137628,0.347201881631628,0.299290577968547,0.530331009097139
5,-1.3299823633157,-0.508289241622575,-0.556084656084656,0.331555969206384,0.305801256720685,0.502343169070788,-0.070899470899471,0.211463844797178,5.64250440917108,0.32049271674223,0.289246853454524,0.547105248030502
6,-1.20718329794763,-0.502123142250531,-0.460898796886058,0.320104396497217,0.315017357073499,0.51789346399368,0.037685774946922,0.390835102618542,5.90640481245577,0.306765752887813,0.28405825262684,0.581634520017701
7,-0.998756218905473,-0.953802416488984,-0.749202410492733,0.308707440143554,0.332608290647346,0.534463288727079,0.036780383795309,0.113361762615494,5.9413328606877,0.307956641142674,0.30269335948596,0.585018639197334
8,-1.10154011461318,-1.25,-0.888214285714286,0.318573840235866,0.323398593028524,0.540280801837003,0.117657593123209,-0.119448424068768,5.89982142857143,0.311344950200657,0.288146777708573,0.586829928673527
9,-0.783189033189033,-1.20213536011582,-1.0777417027417,0.309149617406661,0.326563791415291,0.510649939857738,0.500180375180375,-0.05175533840029,5.8205266955267,0.301644851776001,0.293150760898457,0.579046030763371
10,-0.77619926199262,-1.04077490774908,-1.18088235294118,0.315244946973054,0.336892883239608,0.511955974632537,0.519926199261993,0.096678966789668,5.66783088235294,0.307849617768751,0.280369467943659,0.593074689308789
11,-0.688042248208223,-0.995833333333334,-0.904375707280271,0.292379005643788,0.329266997125886,0.513855622635246,0.572802715956243,0.328787878787879,5.74858543945681,0.285106994650842,0.280604185436001,0.603769323856213
12,-0.948062015503876,-1.0035046728972,-0.488372093023256,0.283969704111448,0.333378491900535,0.537251329091852,0.559496124031008,0.510514018691589,6.21007751937984,0.280186357446228,0.302140475085681,0.619843511009768
13,-0.933439617377441,-1.04607371794872,-0.684535671582304,0.294231463193915,0.350064314203932,0.541317359430329,0.546632124352331,0.324919871794872,5.9037465125548,0.310454188503047,0.32446529344269,0.629713281088315
14,-0.894074675324675,-1.13940746753247,-0.631696428571429,0.295458111700938,0.33090026794465,0.531214240174826,0.576907467532467,0.237824675324675,5.97524350649351,0.315311226002839,0.314992744512452,0.634362665655393
15,-1.05949367088608,-1.0415611814346,-0.345991561181435,0.292328069033151,0.338035671114903,0.533317930889263,0.484599156118143,0.379746835443038,6.1,0.315160602985036,0.323517606785982,0.610592533273081
16,-0.682692307692308,-0.961267605633803,-0.857517482517483,0.29734345373581,0.339921207354174,0.545253737883631,0.820148601398601,0.592209507042254,5.49344405594406,0.315254624143196,0.313321659703012,0.641982840473902
17,-0.954524886877828,-1.03100775193798,-0.91289592760181,0.317492214792977,0.371107786964048,0.56003885080957,0.612669683257919,0.528727770177839,4.98891402714932,0.33552719453439,0.304895000445924,0.650140403729244
18,-1.16449275362319,-1.41908212560386,-0.978448275862069,0.328691002064306,0.404513637503375,0.547872819857268,0.534782608695652,0.357246376811594,4.54094827586207,0.338395580920392,0.307889652550768,0.661961562028645
19,-1.10121457489879,-1.6120951417004,-0.787955465587044,0.343749124976063,0.42066783348187,0.549222776603374,0.623734817813765,0.20495951417004,4.57338056680162,0.345532692843775,0.326090870318003,0.68978379489831
