k,First_CF,Second_CF,Third_CF,First_CF_err,Second_CF_err,Third_CF_err,First_D,Second_D,Third_D,First_D_err,Second_D_err,Third_D_err
0,-0.5510149218815684,-0.9156020370413097,-0.364871407709295,0.1694119672440066,0.388712725364514,0.2737461184410954,-0.256759260643878,0.18322922603244637,1.0990291391434917,0.16377686473689795,0.37415417469326806,0.27190081928805815
1,-0.5033296337402886,-1.6507936507936507,0.6728608470181504,0.4127568974460075,0.948754519478235,0.7232685998243253,0.0690899001109878,1.5736961451247165,5.055747623163353,0.381771500088153,0.8235412785358738,0.6479402377488187
2,-0.6668466522678186,-0.7280701754385965,0.6904627539503386,0.31959180496751793,0.8404189453828558,0.6057359604279396,0.1837652987760979,3.017543859649123,6.278781038374718,0.3053414491344156,0.7755312065747378,0.58141766395583
3,-0.6804915514592933,-1.3911949685534593,0.3717765042979942,0.3174186504667194,0.800596264569363,0.5885721801503685,0.2588325652841782,2.8748427672955974,6.3335721107927405,0.3065151657566633,0.764912094908697,0.5834280975580957
4,-1.0040011037527594,-1.2691441441441442,0.3900523560209424,0.29633982549178434,0.7819346329175297,0.5562701614669271,0.3376103752759382,2.934684684684685,6.074389179755672,0.28533752911341237,0.7797755770940911,0.5664944339340533
5,-1.0681022880215343,-0.8140624999999999,-0.0997907949790795,0.2872456531169784,0.7646334919050429,0.5376341761374851,0.5364737550471064,3.396354166666667,5.702092050209205,0.2709075422637683,0.8343183660361505,0.5789951462378501
6,-0.9420116772823778,-1.382828282828283,-0.0758856682769726,0.2828210058281462,0.7433614719004059,0.518717206636324,0.5879777070063694,3.0782828282828287,5.523752012882448,0.2647015727232281,0.860694183662796,0.576709202531883
7,-1.0043650793650791,-1.401911468812877,-0.6818891491022638,0.2796014472792958,0.8118938665547092,0.5235871464476951,0.3689153439153439,3.1861167002012074,5.1836455893832944,0.2695206589388518,0.9573600236990445,0.5603400815194506
8,-1.0313166311300639,-1.445,-0.6588145896656535,0.2885016383201433,0.8266676083393005,0.5013579046649592,0.5726279317697228,3.29,5.008168693009119,0.26675226980575517,0.9526687895489414,0.5378014188238257
9,-0.8155608214849919,-1.256038647342995,-1.0385078219013237,0.27761693314012087,0.7665012871285043,0.5073175322332919,0.7550026329647183,3.45024154589372,4.954071399919775,0.2596936602552781,0.8833687326800576,0.5762137121598077
10,-0.9143236074270559,-0.9576190476190478,-1.0627083333333334,0.2836819107147763,0.7240168845779915,0.5124683842271106,0.8352785145888594,3.6904761904761907,5.033541666666666,0.24700489856428415,0.8904160280160314,0.5784415454529399
11,-1.017838266384778,-0.7989898989898991,-0.9372294372294372,0.2724972558130712,0.7774133972022832,0.5135362454846092,0.5751849894291755,3.9666666666666672,5.085281385281385,0.23235575003254058,0.9169636411594667,0.6219571172999019
12,-1.249211356466877,-0.2998971193415638,-0.7305555555555553,0.26468525177029656,0.7976320554444234,0.5494589442245631,0.5870136698212408,4.338991769547325,5.490277777777778,0.23560126400622072,0.9371120462397536,0.6708036133411652
13,-1.323872679045093,-0.3856410256410255,-0.753893345917886,0.2728378788748509,0.7710110975533492,0.5511512047666597,0.47254641909814327,4.271794871794873,5.219207173194903,0.26282823104776143,0.9395033960173691,0.6653563481181388
14,-1.1734307359307359,-0.1298701298701299,-0.8134920634920635,0.26430991015023536,0.8024393129012126,0.5644433234584856,0.5928030303030303,4.352813852813852,5.614335317460318,0.27313524228225405,1.0228237501779887,0.6752851869018953
15,-1.065536723163842,-0.16551724137931037,-0.8,0.26323993319336403,0.8037591343571409,0.5360747632768603,0.7439265536723164,4.575287356321839,5.254477611940299,0.26198839769805377,1.047136555380716,0.6230739262724493
16,-0.9512910798122066,-0.691627358490566,-0.7934451219512195,0.2765491164742796,0.7507060043230265,0.5713482107203226,0.8370011737089202,4.349056603773585,5.096544715447155,0.2615295364445974,1.0544252821541846,0.6561488429936758
17,-1.3965894868585735,-0.5081351689612015,-1.1173820879703231,0.30047889170110453,0.80332788041568,0.583898778589762,0.47058823529411764,4.581351689612015,4.324059353471119,0.2812313609483267,1.1305596719814601,0.645478782955332
18,-1.4877450980392157,-0.5410353535353535,-1.2939342403628118,0.31808709658761736,0.7544821915994582,0.580712825083939,0.4364379084967319,4.032828282828284,4.031462585034014,0.26766168315653444,1.0966815692827336,0.6642107964012791
19,-1.6433333333333333,-0.4057017543859649,-1.3307833537331704,0.336297700507715,0.7467493751831996,0.6016290397951302,0.2608771929824561,4.4524853801169595,4.096695226438187,0.28473943928138923,1.2270747932809398,0.7154441163190202
20,-1.6340384615384616,-0.27421875000000007,-1.1113924050632913,0.336296165013407,0.8379155237061141,0.5931908332296006,0.40692307692307694,4.5171875,4.057594936708861,0.29263036320779356,1.2573981861219228,0.6928606334304699
21,-1.7775110044017606,0.044444444444444405,-0.9736652236652235,0.3298487743642018,0.9060017527731447,0.6942076018976021,0.31232492997198896,4.5365079365079355,4.037518037518038,0.30176043428176896,1.313455179171807,0.7642892777969713
22,-1.8504329004329003,-0.16969696969696987,-1.3149920255183414,0.3322455868866229,0.893278584374678,0.7889819907477964,0.1794372294372295,3.815909090909091,4.003987240829346,0.3079570450680129,1.2441672360409468,0.8045550611171504
23,-1.8704616763783057,-0.4177018633540373,-1.0168170631665299,0.3416590234175482,0.8968170157690631,0.7794512394292793,0.16472433886149712,3.06055900621118,3.8063986874487283,0.33355760127531914,1.2670795119571618,0.8884723658348533
24,-1.7008426966292138,-0.3341666666666667,-1.3107638888888886,0.33637964945280785,0.9615311080559273,0.8052833665114761,0.1477059925093633,3.229166666666667,3.5321180555555554,0.32189887056937627,1.4564675564720126,0.9409741901171705
25,-1.4802469135802472,-0.09052631578947383,-1.6781818181818182,0.3441540879823427,1.170003617149457,0.8216388558114838,0.414320987654321,3.357894736842106,3.0554545454545448,0.2980136368095129,1.6259783521694275,0.9460421312030174
26,-1.4594871794871793,0.26098901098901095,-1.4903846153846154,0.34830309390348163,1.4521511303739023,0.7520892429906407,0.3843589743589743,4.383241758241758,3.220695970695971,0.2928528065711723,1.9712731282442963,0.9080968094183041
27,-1.353174603174603,0.4292929292929294,-1.4410331384015596,0.35841119178285347,1.5169816855288885,0.72101415298731,0.19999999999999996,5.513468013468014,3.367446393762183,0.2695314049837491,2.1242694817766647,0.9413409233635833
28,-1.6477832512315271,0.7357142857142858,-1.0535714285714286,0.4288924220978613,1.779626129555793,0.7838643232798163,-0.06896551724137927,5.441071428571428,3.580612244897959,0.30850305692542196,2.3090221749032667,0.9938474692307822
