k,First_CF,Second_CF,Third_CF,First_CF_err,Second_CF_err,Third_CF_err,First_D,Second_D,Third_D,First_D_err,Second_D_err,Third_D_err
0,-0.497929993592844,-0.668815957434042,-0.438603265992947,0.2639979706847,0.25352635522802,0.207040819903034,-0.178810692088063,0.142783845309704,0.858328932692511,0.253204975979971,0.245783651787527,0.21168814569175
1,-0.780884265279584,-0.565712426805465,0.379388816644993,0.447474100955864,0.493273363359739,0.532629894041199,0.187581274382315,1.01854261548471,2.72529258777633,0.41544899416419,0.432219485081721,0.510500021744682
2,-0.830317740511915,-0.575463371579876,0.403439153439154,0.373022164532442,0.413526621136001,0.453106953505238,0.109664607237423,1.84421888790821,3.51388888888889,0.349639709616727,0.387516428799132,0.467822113079934
3,-1.15099388379205,-0.345565749235474,-0.036082474226804,0.361708237994522,0.394997608844557,0.456432270101977,0.353019877675841,1.86869266055046,3.44692630775105,0.351505714301081,0.392486638274073,0.471392579766401
4,-1.02653733528551,-0.520711143695015,-0.167825768667643,0.369873434358986,0.398461605282733,0.445782090742138,0.420937042459737,2.14277859237537,3.73700585651537,0.356835445593671,0.404687829296497,0.475505679662506
5,-0.848853615520282,-1.37072310405644,-0.174779541446208,0.329777228169865,0.381328045247487,0.448452569251025,0.472134038800706,1.41463844797178,3.8962962962963,0.346223459934892,0.406194396718701,0.475842533508423
6,-0.671974522292994,-1.02848549186129,-0.469745222929936,0.352927658958035,0.374307267069011,0.453498332511909,0.924982307147912,1.64631988676575,3.76362349610757,0.382217153138559,0.406941007477861,0.488087785360581
7,-1.19687277896233,-0.848081023454158,-0.657036511875222,0.327823365775961,0.406494464823372,0.467889711303219,0.62864250177683,2.32160625444207,3.14817440623892,0.371657379017429,0.44098572389483,0.495651691168641
8,-1.32790114613181,-1.05927650429799,-0.852678571428571,0.335579172410572,0.399648029187191,0.475279259164861,0.787428366762178,2.10601719197708,3.01285714285714,0.378318077437117,0.436172573013146,0.501200755426334
9,-1.12698412698413,-0.927795874049946,-1.00739538239538,0.329240404987596,0.367335076058377,0.469111922653289,1.26280663780664,2.00072385088672,3.01208513708514,0.362803406122282,0.427634085121543,0.511651446049618
10,-0.966236162361624,-0.605166051660517,-1.42555147058824,0.336534009500029,0.39451987395929,0.453377769232746,1.38265682656827,2.62324723247232,2.29099264705882,0.374167172086961,0.474707545287081,0.478593552478365
11,-0.616559788758959,-0.550568181818182,-1.41927574500189,0.318186266893782,0.391788099926313,0.449270517130734,1.7182195397963,2.49488636363636,2.44605809128631,0.356919230994801,0.465408189336255,0.508094092304427
12,-0.492441860465116,-0.498052959501558,-1.44709302325581,0.31426884893207,0.406238967685302,0.463736337866807,1.81976744186047,2.89096573208723,2.58042635658915,0.365077848160943,0.498815158863219,0.520374225438159
13,-0.483858110801116,-0.804286858974359,-1.37465125548027,0.330849916686879,0.407931856842319,0.474301059090306,1.67417297728179,2.49679487179487,2.61558389796732,0.404273954478432,0.495094043512696,0.540552798709775
14,-0.431209415584416,-0.880073051948052,-1.3538961038961,0.309995465932356,0.402769741645648,0.467933903750477,1.59760551948052,2.65361201298701,2.53875811688312,0.369432702266723,0.543246180529189,0.532966038229266
15,-0.248945147679325,-0.981012658227848,-1.21708860759494,0.303062132828062,0.402291086966973,0.478883721732135,1.53902953586498,2.72637130801688,2.69894514767932,0.346763780237469,0.525531166668184,0.557653556786361
16,0.020323426573427,-0.947403169014084,-1.5743006993007,0.298136369965952,0.39369982997814,0.499116417959027,1.5395541958042,2.76782570422535,2.61363636363636,0.342753825808332,0.515492330354453,0.574602901861308
17,0.193438914027149,-1.11901504787962,-1.97352941176471,0.32118157808333,0.401927746741306,0.519051135049285,1.66900452488688,2.50455996352029,1.97194570135747,0.355268338797064,0.53422146418229,0.563546382813395
18,-0.525603864734299,-1.07342995169082,-1.95450191570881,0.306302999819541,0.441711524989267,0.524445497561748,0.957971014492754,2.37946859903382,2.11661877394636,0.334244658757834,0.54515131450953,0.573782926902318
19,-0.390435222672065,-1.23633603238866,-1.87449392712551,0.333558946760695,0.45791286790481,0.518096370812956,1.04832995951417,2.31275303643725,2.04099190283401,0.336416347778989,0.582784503448624,0.59407385439806
