k,First_CF,Second_CF,Third_CF,First_CF_err,Second_CF_err,Third_CF_err,First_D,Second_D,Third_D,First_D_err,Second_D_err,Third_D_err
0,-0.482742886598344,-0.9156919554660271,-0.2015708726370287,0.1903941635096416,0.28327342920146303,0.29584842160540786,0.008371165988426497,0.3657970519906727,1.03882999597185,0.18368650076568524,0.28164114584580763,0.30172999559481517
1,-0.6740725642070934,-0.8905862923203963,1.3119072708113804,0.37419247182143717,0.5996712836364945,0.6212451515528918,0.6512433754586221,1.657308009909166,2.5637513171759747,0.3331323085760847,0.56565380572155,0.6151861462059821
2,-0.6790301862556197,-0.4272183449651047,0.4172619047619048,0.32089618236904144,0.4897935879111074,0.49299231741224947,1.0011239563262684,2.2966101694915255,2.8764880952380953,0.3127070035115481,0.47135131814454767,0.4965271843152257
3,-0.9653161448741561,-1.0141104294478527,0.7518621973929237,0.320690900063192,0.4608847771239246,0.4705872125685259,0.6743400859422958,2.4613496932515337,3.123137802607076,0.32297792682378446,0.45074860538239364,0.4879965722596082
4,-0.9233611825192802,-0.9749623493975904,0.3215759075907591,0.354949646587935,0.4230214369392933,0.4512584754412397,0.915327763496144,2.511671686746988,3.061262376237624,0.3401496103979666,0.4477501951154118,0.4740337101105228
5,-1.1195792880258901,-1.3580817051509768,0.19019230769230766,0.3303782658746616,0.4199896617697952,0.4232042331560522,0.8140776699029129,2.489165186500888,2.907307692307693,0.33911927364052163,0.45318653920370255,0.4597773199054047
6,-1.084,-1.001585623678647,-0.01458333333333328,0.3429502814824849,0.42333947561841945,0.4226969885557605,1.1128333333333333,2.6171599718111342,2.7242424242424237,0.3774841398382674,0.459973912769016,0.4584848533893071
7,-1.2963777928232907,-1.1679012345679012,-0.1757518796992482,0.35746409319139083,0.42227588803400085,0.4354999204325958,0.9908598510494244,2.4555555555555557,2.7377819548872173,0.3979387460352736,0.4523070956084673,0.47411372775811894
8,-1.502038043478261,-1.3742816091954022,-0.3028990963855422,0.35977182268417,0.41582177671558973,0.44794705792673434,0.9967730978260869,2.3423132183908044,2.6959713855421685,0.39837977716950823,0.44402476990930806,0.4842189070514618
9,-1.3300347222222224,-1.3410894660894659,-0.3510357815442562,0.3513831957472973,0.3729119948581181,0.4529388954084008,1.4123263888888888,1.9635642135642133,2.9322033898305087,0.4354496666347788,0.39389340753957564,0.48599459081901497
10,-0.9980427046263345,-1.3036630036630035,-0.6817307692307693,0.3503054702899932,0.39119644034286083,0.45348738969231245,1.7122775800711743,2.0225274725274724,2.937884615384615,0.4227531165334547,0.40964552467095855,0.4937827647042927
11,-0.6761363636363636,-1.2646506386175806,-0.642437304075235,0.33313897471122367,0.37143221925377645,0.46412409703484764,1.92925219941349,1.6609691960931632,3.1829937304075235,0.42368883023606374,0.37412016484905114,0.531737816828141
12,-0.5964015151515151,-1.0142133956386294,-0.8349206349206348,0.3470563474913183,0.38126643868005194,0.4687206989921532,1.949621212121212,2.318535825545171,2.9948412698412703,0.4374493183026556,0.4162493069253009,0.5415545880795684
13,-0.8627754155392348,-0.7606837606837608,-1.040283400809717,0.32397914947608436,0.4224248196930443,0.4746346431278916,1.705836876691148,2.4037444037444033,2.8263157894736843,0.4544865942986895,0.4559308375612012,0.5380401224968541
14,-0.8499219359875098,-0.823517126148705,-0.9926108374384237,0.30382571254990315,0.42230018906203715,0.46517189624113436,1.6978922716627636,2.2951127819548875,2.9626436781609193,0.4509328295801481,0.47317762600476826,0.5547033669972307
15,-0.9321063394683027,-0.5471861471861472,-0.9581740976645435,0.31273823451367677,0.41634698443448453,0.468625577611998,1.6098159509202452,2.492857142857143,3.059660297239915,0.4239151068517221,0.46604165123861885,0.557223667352571
16,-0.7482993197278912,-0.7679856115107914,-0.9859154929577465,0.319629495994893,0.4059773395673924,0.4892374389807318,1.4583333333333333,2.4795413669064748,3.216549295774648,0.4243121579067496,0.46781783032352253,0.5701879624531435
17,-0.8199643493761141,-0.6234367762853174,-1.4488687782805432,0.347963582174089,0.4155926816659082,0.5075267686594482,1.3230837789661318,2.1871236683649835,2.815837104072399,0.44635745634837704,0.4463946686270188,0.5763178194020411
18,-1.211629001883239,-1.0813667649950838,-1.2647342995169077,0.35345630449038795,0.46272651128240233,0.48943027622843943,1.0101224105461393,1.9488692232055065,2.6106280193236717,0.44344683592994344,0.48290177902992815,0.5653620033434348
19,-1.0340852130325815,-1.3968008255933955,-1.0769423558897244,0.35839732467014307,0.49438170881470495,0.47846519063248877,1.0664160401002505,1.6723426212590298,2.6724310776942355,0.49536348533478697,0.5505193583352707,0.5307224646450893
20,-1.3505494505494506,-1.3303370786516853,-1.2445652173913044,0.403721806460713,0.4961072404331231,0.4781827551527276,1.0848901098901098,1.5,2.597554347826087,0.5251751087587063,0.5793786186587643,0.5525536128469936
21,-1.258377425044092,-1.2456298975286317,-1.0437977660199882,0.4248886674566111,0.5018660232317071,0.5359858637494066,0.9506172839506171,1.7022302591922847,2.6893004115226335,0.5202027597579567,0.6185519273288566,0.5781326587300568
22,-1.0542929292929293,-1.6202651515151514,-1.2064660691421254,0.47287509939488076,0.543698089119912,0.5570433272378421,1.3096590909090908,1.1395202020202022,2.5537772087067863,0.520561211552495,0.6394592121726429,0.6134256762599325
23,-0.9150501672240801,-1.6728778467908902,-1.1810461956521738,0.4507863373204025,0.5662525879917184,0.5860098342795098,1.0682274247491639,1.1787439613526574,2.598165760869565,0.5105516687134639,0.7187723361052557,0.6674129324475223
24,-1.122222222222222,-1.4572740112994351,-1.2319915254237288,0.4503650201686455,0.5643311985860403,0.5962861250456893,1.0315972222222223,1.2415254237288136,2.1172316384180796,0.5128614228220091,0.7178539443969718,0.7447170669060615
